id,module,difficulty,question,option_A,option_B,option_C,option_D,answer,analysis
1,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第1题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
2,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第2题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
3,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第3题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
4,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第4题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
5,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第5题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
6,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第6题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
7,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第7题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
8,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第8题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
9,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第9题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
10,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第10题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
11,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第11题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
12,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第12题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
13,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第13题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
14,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第14题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
15,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第15题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
16,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第16题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
17,编程基础,基础,以下关于变量作用域的描述，正确的是哪一项？（第17题）,局部变量在整个程序中都可访问,全局变量只能在函数内部使用,局部变量只在其定义的代码块中有效,变量作用域与定义位置无关,C,局部变量的生命周期和作用域仅限于其所在的代码块或函数内部。
