id,module,difficulty,question,option_A,option_B,option_C,option_D,answer,analysis
1,常见命令与排错,基础,[基础] 在常见命令与排错中，下列说法正确的是哪一项？,常见命令与排错 中的错误理解,常见命令与排错 的常见误区,常见命令与排错 的正确描述,常见命令与排错 无关描述,C,常见命令与排错 相关基础知识与安全理解
2,内存管理,基础,[基础] 在内存管理中，下列说法正确的是哪一项？,内存管理 中的错误理解,内存管理 的常见误区,内存管理 的正确描述,内存管理 无关描述,C,内存管理 相关基础知识与安全理解
3,常见命令与排错,基础,[基础] 在常见命令与排错中，下列说法正确的是哪一项？,常见命令与排错 中的错误理解,常见命令与排错 的常见误区,常见命令与排错 的正确描述,常见命令与排错 无关描述,C,常见命令与排错 相关基础知识与安全理解
4,内存管理,基础,[基础] 在内存管理中，下列说法正确的是哪一项？,内存管理 中的错误理解,内存管理 的常见误区,内存管理 的正确描述,内存管理 无关描述,C,内存管理 相关基础知识与安全理解
5,进程与线程,基础,[基础] 在进程与线程中，下列说法正确的是哪一项？,进程与线程 中的错误理解,进程与线程 的常见误区,进程与线程 的正确描述,进程与线程 无关描述,C,进程与线程 相关基础知识与安全理解
6,Windows 基础,基础,[基础] 在Windows 基础中，下列说法正确的是哪一项？,Windows 基础 中的错误理解,Windows 基础 的常见误区,Windows 基础 的正确描述,Windows 基础 无关描述,C,Windows 基础 相关基础知识与安全理解
7,Linux 权限与安全,基础,[基础] 在Linux 权限与安全中，下列说法正确的是哪一项？,Linux 权限与安全 中的错误理解,Linux 权限与安全 的常见误区,Linux 权限与安全 的正确描述,Linux 权限与安全 无关描述,C,Linux 权限与安全 相关基础知识与安全理解
8,系统调用,基础,[基础] 在系统调用中，下列说法正确的是哪一项？,系统调用 中的错误理解,系统调用 的常见误区,系统调用 的正确描述,系统调用 无关描述,C,系统调用 相关基础知识与安全理解
9,Linux 基础,基础,[基础] 在Linux 基础中，下列说法正确的是哪一项？,Linux 基础 中的错误理解,Linux 基础 的常见误区,Linux 基础 的正确描述,Linux 基础 无关描述,C,Linux 基础 相关基础知识与安全理解
10,文件系统,基础,[基础] 在文件系统中，下列说法正确的是哪一项？,文件系统 中的错误理解,文件系统 的常见误区,文件系统 的正确描述,文件系统 无关描述,C,文件系统 相关基础知识与安全理解
11,Linux 基础,基础,[基础] 在Linux 基础中，下列说法正确的是哪一项？,Linux 基础 中的错误理解,Linux 基础 的常见误区,Linux 基础 的正确描述,Linux 基础 无关描述,C,Linux 基础 相关基础知识与安全理解
12,常见命令与排错,基础,[基础] 在常见命令与排错中，下列说法正确的是哪一项？,常见命令与排错 中的错误理解,常见命令与排错 的常见误区,常见命令与排错 的正确描述,常见命令与排错 无关描述,C,常见命令与排错 相关基础知识与安全理解
13,Windows 基础,基础,[基础] 在Windows 基础中，下列说法正确的是哪一项？,Windows 基础 中的错误理解,Windows 基础 的常见误区,Windows 基础 的正确描述,Windows 基础 无关描述,C,Windows 基础 相关基础知识与安全理解
14,内存管理,基础,[基础] 在内存管理中，下列说法正确的是哪一项？,内存管理 中的错误理解,内存管理 的常见误区,内存管理 的正确描述,内存管理 无关描述,C,内存管理 相关基础知识与安全理解
15,Windows 基础,基础,[基础] 在Windows 基础中，下列说法正确的是哪一项？,Windows 基础 中的错误理解,Windows 基础 的常见误区,Windows 基础 的正确描述,Windows 基础 无关描述,C,Windows 基础 相关基础知识与安全理解
16,Windows 基础,基础,[基础] 在Windows 基础中，下列说法正确的是哪一项？,Windows 基础 中的错误理解,Windows 基础 的常见误区,Windows 基础 的正确描述,Windows 基础 无关描述,C,Windows 基础 相关基础知识与安全理解
17,内存管理,基础,[基础] 在内存管理中，下列说法正确的是哪一项？,内存管理 中的错误理解,内存管理 的常见误区,内存管理 的正确描述,内存管理 无关描述,C,内存管理 相关基础知识与安全理解
18,内存管理,基础,[基础] 在内存管理中，下列说法正确的是哪一项？,内存管理 中的错误理解,内存管理 的常见误区,内存管理 的正确描述,内存管理 无关描述,C,内存管理 相关基础知识与安全理解
19,Linux 权限与安全,基础,[基础] 在Linux 权限与安全中，下列说法正确的是哪一项？,Linux 权限与安全 中的错误理解,Linux 权限与安全 的常见误区,Linux 权限与安全 的正确描述,Linux 权限与安全 无关描述,C,Linux 权限与安全 相关基础知识与安全理解
20,系统调用,基础,[基础] 在系统调用中，下列说法正确的是哪一项？,系统调用 中的错误理解,系统调用 的常见误区,系统调用 的正确描述,系统调用 无关描述,C,系统调用 相关基础知识与安全理解
21,Windows 基础,基础,[基础] 在Windows 基础中，下列说法正确的是哪一项？,Windows 基础 中的错误理解,Windows 基础 的常见误区,Windows 基础 的正确描述,Windows 基础 无关描述,C,Windows 基础 相关基础知识与安全理解
22,Linux 基础,基础,[基础] 在Linux 基础中，下列说法正确的是哪一项？,Linux 基础 中的错误理解,Linux 基础 的常见误区,Linux 基础 的正确描述,Linux 基础 无关描述,C,Linux 基础 相关基础知识与安全理解
23,Linux 权限与安全,基础,[基础] 在Linux 权限与安全中，下列说法正确的是哪一项？,Linux 权限与安全 中的错误理解,Linux 权限与安全 的常见误区,Linux 权限与安全 的正确描述,Linux 权限与安全 无关描述,C,Linux 权限与安全 相关基础知识与安全理解
24,常见命令与排错,基础,[基础] 在常见命令与排错中，下列说法正确的是哪一项？,常见命令与排错 中的错误理解,常见命令与排错 的常见误区,常见命令与排错 的正确描述,常见命令与排错 无关描述,C,常见命令与排错 相关基础知识与安全理解
25,Linux 基础,基础,[基础] 在Linux 基础中，下列说法正确的是哪一项？,Linux 基础 中的错误理解,Linux 基础 的常见误区,Linux 基础 的正确描述,Linux 基础 无关描述,C,Linux 基础 相关基础知识与安全理解
26,Linux 权限与安全,基础,[基础] 在Linux 权限与安全中，下列说法正确的是哪一项？,Linux 权限与安全 中的错误理解,Linux 权限与安全 的常见误区,Linux 权限与安全 的正确描述,Linux 权限与安全 无关描述,C,Linux 权限与安全 相关基础知识与安全理解
27,Linux 基础,基础,[基础] 在Linux 基础中，下列说法正确的是哪一项？,Linux 基础 中的错误理解,Linux 基础 的常见误区,Linux 基础 的正确描述,Linux 基础 无关描述,C,Linux 基础 相关基础知识与安全理解
28,系统调用,基础,[基础] 在系统调用中，下列说法正确的是哪一项？,系统调用 中的错误理解,系统调用 的常见误区,系统调用 的正确描述,系统调用 无关描述,C,系统调用 相关基础知识与安全理解
29,进程与线程,基础,[基础] 在进程与线程中，下列说法正确的是哪一项？,进程与线程 中的错误理解,进程与线程 的常见误区,进程与线程 的正确描述,进程与线程 无关描述,C,进程与线程 相关基础知识与安全理解
30,内存管理,基础,[基础] 在内存管理中，下列说法正确的是哪一项？,内存管理 中的错误理解,内存管理 的常见误区,内存管理 的正确描述,内存管理 无关描述,C,内存管理 相关基础知识与安全理解
31,系统调用,基础,[基础] 在系统调用中，下列说法正确的是哪一项？,系统调用 中的错误理解,系统调用 的常见误区,系统调用 的正确描述,系统调用 无关描述,C,系统调用 相关基础知识与安全理解
32,Windows 基础,基础,[基础] 在Windows 基础中，下列说法正确的是哪一项？,Windows 基础 中的错误理解,Windows 基础 的常见误区,Windows 基础 的正确描述,Windows 基础 无关描述,C,Windows 基础 相关基础知识与安全理解
