module,sub_module,difficulty,question,option_A,option_B,option_C,option_D,answer,analysis
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 1 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 2 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 3 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 4 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 5 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 6 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 7 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 8 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 9 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 10 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 11 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 12 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 13 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 14 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 15 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 16 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 17 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 18 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 19 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 20 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 21 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 22 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 23 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 24 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 25 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 26 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 27 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 28 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 29 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 30 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 31 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 32 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 33 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 34 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,CSRF,基础,防御 CSRF 攻击最有效的措施是？（第 35 题）,Token 校验,验证码,HTTPS,输入校验,A,CSRF Token 可以有效验证请求合法性
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 36 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,XSS 攻击,基础,以下哪种场景最可能导致反射型 XSS？（第 37 题）,直接回显用户输入,对输入进行 HTML 转义,使用 CSP,服务端过滤脚本,A,未经过滤直接回显用户输入容易导致反射型 XSS
Web 应用与中间件安全,Web 安全配置,基础,以下哪项配置有助于防止 XSS？（第 38 题）,Content-Security-Policy,开启目录列表,关闭 HttpOnly,禁用 HTTPS,A,CSP 可限制脚本加载来源，降低 XSS 风险
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 39 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 40 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 41 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
Web 应用与中间件安全,中间件安全,基础,Redis 未设置密码可能导致的安全问题是？（第 42 题）,未授权访问,SQL 注入,XSS,CSRF,A,未授权访问是 Redis 常见安全问题
Web 应用与中间件安全,SQL 注入,基础,以下哪种 SQL 拼接方式最容易产生注入漏洞？（第 43 题）,使用字符串拼接用户输入,使用预编译语句,使用 ORM 框架,使用存储过程,A,直接拼接用户输入是 SQL 注入的主要成因
